layout_mode,lines,pucks,rounds,simulated_rtp,exact_rtp,target_rtp,delta_basis_points,confidence_95_half_width_basis_points,hit_frequency,win_above_bet_frequency,max_win_multiplier
dynamic_diagonal_width,5,3,100000000,0.9745389885844433,0.9744999999999959,0.9745,0.3898858444328912,2.4767086648721772,0.98800626,0.36821429,74
dynamic_diagonal_width,6,3,100000000,0.9744413173426294,0.9744999999999977,0.9745,-0.586826573706345,3.227266047020587,0.84439722,0.2907219,110
dynamic_diagonal_width,7,3,100000000,0.9742364967806105,0.9744999999999996,0.9745,-2.6350321938950483,3.6337287937389577,0.72276462,0.30368048,200
dynamic_diagonal_width,8,3,100000000,0.9743043801603021,0.9745000000000009,0.9745,-1.9561983969795804,4.95445987229846,0.49441265,0.18966211,210
dynamic_diagonal_width,9,3,100000000,0.9739823994786412,0.9745000000000004,0.9745,-5.176005213588519,5.621650311693184,0.40147935,0.34987784,266.6666666666667
dynamic_diagonal_width,10,3,100000000,0.9745896621845721,0.9744999999999968,0.9745,0.896621845720702,8.972952679627099,0.21958279,0.19206117,333.3333333333333
