layout_mode,risk,lines,pucks,calculated_rtp,simulated_rtp,hit_frequency,win_above_bet_frequency,bonus_frequency,multi_plus_frequency,base_bonus_frequency,bonus_frequency_multiplier,baseline_paid_bonus_win_frequency,paid_bonus_win_frequency,paid_bonus_win_frequency_multiplier,one_of_two_star_probability,two_of_three_star_probability,base_game_rtp_contribution,bonus_rtp_contribution,bonus_rtp_share,max_win,variance,standard_deviation,terminal_x_hit_probability,terminal_empty_probability,terminal_center_probability,multiplier_cell_count,multiplier_cell_density,empty_cell_count,empty_cell_density,visible_multiplier_density,center_zone_cell_count,middle_zone_cell_count,outer_zone_cell_count,average_visible_multiplier_value,max_visible_multiplier_value,multi_plus_extra_cell_count,visible_multiplier_density_with_multi_plus,pocket_hit_probability_per_puck,pocket_round_probability,first_generation_repocket_probability,second_generation_repocket_probability,expected_terminal_balls_per_initial_ball,status
current,low,5,1,0.9745,0.94886,0.67871667,0.4024,0.025,0.06,0.0056329,2.5,0.00442287,0.01696792,3.83640725,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,3.43115597,1.85233797,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.045,0.035,0.006,1.0996201,PASS
current,low,5,2,0.9745,0.9530265,0.89622449,0.28336667,0.025,0.06,0.00584795,2.5,0.00557032,0.02240561,4.02231688,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,2.34241098,1.5304937,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.087975,0.035,0.006,1.0996201,PASS
current,low,5,3,0.9745,0.96723433,0.96635175,0.3162,0.025,0.06,0.0060638,2.5,0.0059989,0.02415879,4.02720448,0.85,0.85,0.7955102041,0.1789897959,0.18367347,618.3,1.97949598,1.40694562,0.65905827,0.34094173,0.0732286971,9,0.36,16,0.64,0.36,1,4,4,1.085556,2.29,4,0.52,0.045,0.12901613,0.035,0.006,1.0996201,PASS
current,low,6,1,0.9745,0.958904,0.49512519,0.31033333,0.025,0.052,0.00672385,2.5,0.00382129,0.01237813,3.23925661,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,5.2716847,2.29601496,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.042,0.035,0.006,1.09297876,PASS
current,low,6,2,0.9745,0.955954,0.74488898,0.33023333,0.025,0.052,0.00698305,2.5,0.00567263,0.01862222,3.2828174,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,3.26167312,1.80601028,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.082236,0.035,0.006,1.09297876,PASS
current,low,6,3,0.9745,0.982788,0.87099884,0.39233333,0.025,0.052,0.00724339,2.5,0.00664853,0.02177497,3.27515455,0.85,0.85,0.7955102041,0.1789897959,0.18367347,842.4,2.59166926,1.60986622,0.47528887,0.52471113,0.0950577733,20,0.55555556,16,0.44444444,0.55555556,4,8,8,1.52,3.12,8,0.77777778,0.042,0.12078209,0.035,0.006,1.09297876,PASS
current,normal,7,1,0.9745,0.974571,0.33473272,0.3344,0.025,0.044,0.00782046,2.5,0.00298295,0.00836832,2.805379,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,7.68633636,2.77242427,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.038,0.035,0.006,1.08412364,PASS
current,normal,7,2,0.9745,0.9548955,0.55721126,0.42613333,0.025,0.044,0.00812484,2.5,0.0050044,0.01393028,2.78360681,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,4.47044723,2.11434321,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.074556,0.035,0.006,1.08412364,PASS
current,normal,7,3,0.9745,0.96728667,0.7051635,0.2993,0.025,0.044,0.00843079,2.5,0.00641308,0.01762909,2.74892803,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1579.5,3.39848419,1.84349781,0.31711775,0.68288225,0.0243936731,13,0.26530612,36,0.73469388,0.26530612,1,8,4,2.29,5.85,12,0.51020408,0.038,0.10972287,0.035,0.006,1.08412364,PASS
current,normal,8,1,0.9745,0.980616,0.22516745,0.22696667,0.025,0.036,0.00892481,2.5,0.0022725,0.00562919,2.47708998,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2457,13.81613704,3.71700646,0.21313633,0.78686367,0.0304480469,28,0.4375,36,0.5625,0.4375,4,16,8,3.454286,9.1,12,0.625,0.034,0.034,0.035,0.006,1.07526852,PASS
current,normal,8,2,0.9745,0.973908,0.39959714,0.30656667,0.025,0.036,0.00927553,2.5,0.00411176,0.00998993,2.42960069,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2457,7.53349044,2.74472047,0.21313633,0.78686367,0.0304480469,28,0.4375,36,0.5625,0.4375,4,16,8,3.454286,9.1,12,0.625,0.034,0.066844,0.035,0.006,1.07526852,PASS
current,normal,8,3,0.9745,1.03063133,0.53473154,0.41476667,0.025,0.036,0.0096283,2.5,0.00561677,0.01336829,2.38006768,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2457,5.43927491,2.33222531,0.21313633,0.78686367,0.0304480469,28,0.4375,36,0.5625,0.4375,4,16,8,3.454286,9.1,12,0.625,0.034,0.0985713,0.035,0.006,1.07526852,PASS
current,high,9,1,0.9745,1.085669,0.15399486,0.15396667,0.02816757,0.03,0.01126703,2.5,0.00197106,0.00433766,2.20067792,0.85,0.85,0.777418179,0.197081821,0.20223891,5054.4,21.98330286,4.6886355,0.14578928,0.85421072,0.0085758397,17,0.20987654,64,0.79012346,0.20987654,1,12,4,4.976471,18.72,8,0.30864198,0.03,0.03,0.035,0.006,1.0664134,PASS
current,high,9,2,0.9745,0.9452045,0.28218823,0.22526667,0.02929694,0.03,0.01171878,2.5,0.003729,0.00826725,2.21701634,0.85,0.85,0.7711650219,0.2033349781,0.2086557,5054.4,11.91902878,3.45239464,0.14461662,0.85538338,0.00850686,17,0.20987654,64,0.79012346,0.20987654,1,12,4,4.976471,18.72,8,0.30864198,0.03,0.0591,0.035,0.006,1.0664134,PASS
current,high,9,3,0.9745,0.99054467,0.3892083,0.3193,0.03043468,0.03,0.01217387,2.5,0.00530432,0.01184543,2.23316539,0.85,0.85,0.7649664256,0.2095335744,0.2150165,5054.4,8.58201035,2.92950684,0.1434542,0.8565458,0.0084384822,17,0.20987654,64,0.79012346,0.20987654,1,12,4,4.976471,18.72,8,0.30864198,0.03,0.087327,0.035,0.006,1.0664134,PASS
current,high,10,1,0.9745,0.899814,0.08860824,0.0874,0.03417557,0.025,0.01367023,2.5,0.00140869,0.00302824,2.14967831,0.85,0.85,0.745269794,0.229230206,0.23522853,8424,53.36118804,7.30487427,0.08416451,0.91583549,0.0093516119,36,0.36,64,0.64,0.36,4,24,8,8.353333,31.2,12,0.48,0.026,0.026,0.035,0.006,1.05755828,PASS
current,high,10,2,0.9745,0.950121,0.16783305,0.1688,0.03557384,0.025,0.01422954,2.5,0.00276986,0.00597047,2.1555124,0.85,0.85,0.7381655324,0.2363344676,0.24251869,8424,28.02643971,5.29400035,0.08336221,0.91663779,0.0092624679,36,0.36,64,0.64,0.36,4,24,8,8.353333,31.2,12,0.48,0.026,0.051324,0.035,0.006,1.05755828,PASS
current,high,10,3,0.9745,0.896279,0.23879275,0.1927,0.0369847,0.025,0.01479388,2.5,0.00408561,0.00883168,2.16165525,0.85,0.85,0.7311332667,0.2433667333,0.24973498,8424,19.59612216,4.42675075,0.08256805,0.91743195,0.0091742274,36,0.36,64,0.64,0.36,4,24,8,8.353333,31.2,12,0.48,0.026,0.07598958,0.035,0.006,1.05755828,PASS
dynamic_diagonal_width,low,5,1,0.9745,0.94201,0.50717132,0.51133333,0.025,0.06,0.0056329,2.5,0.00329851,0.01267928,3.84394806,0.85,0.85,0.7955102041,0.1789897959,0.18367347,540,3.92545418,1.9812759,0.48339343,0.51660657,0.1239063621,5,0.2,20,0.8,0.2,1,4,0,1.44,2,4,0.36,0.045,0.045,0.035,0.006,1.0996201,PASS
dynamic_diagonal_width,low,5,2,0.9745,0.97263,0.75650452,0.2915,0.025,0.06,0.00584795,2.5,0.00483395,0.01891261,3.91245872,0.85,0.85,0.7955102041,0.1789897959,0.18367347,540,2.58972012,1.60926074,0.48339343,0.51660657,0.1239063621,5,0.2,20,0.8,0.2,1,4,0,1.44,2,4,0.36,0.045,0.087975,0.035,0.006,1.0996201,PASS
dynamic_diagonal_width,low,5,3,0.9745,0.96863333,0.87944847,0.34353333,0.025,0.06,0.0060638,2.5,0.00562026,0.02198621,3.91195837,0.85,0.85,0.7955102041,0.1789897959,0.18367347,540,2.14447543,1.46440276,0.48339343,0.51660657,0.1239063621,5,0.2,20,0.8,0.2,1,4,0,1.44,2,4,0.36,0.045,0.12901613,0.035,0.006,1.0996201,PASS
dynamic_diagonal_width,low,6,1,0.9745,0.9486,0.37714712,0.37836667,0.025,0.052,0.00672385,2.5,0.00285847,0.00942868,3.29850395,0.85,0.85,0.7955102041,0.1789897959,0.18367347,810,5.91044969,2.43114164,0.35654425,0.64345575,0.1246014462,12,0.33333333,24,0.66666667,0.33333333,4,8,0,2,3,8,0.55555556,0.042,0.042,0.035,0.006,1.09297876,PASS
dynamic_diagonal_width,low,6,2,0.9745,0.978075,0.61174966,0.32873333,0.025,0.052,0.00698305,2.5,0.00466632,0.01529374,3.27747391,0.85,0.85,0.7955102041,0.1789897959,0.18367347,810,3.58136961,1.89245069,0.35654425,0.64345575,0.1246014462,12,0.33333333,24,0.66666667,0.33333333,4,8,0,2,3,8,0.55555556,0.042,0.082236,0.035,0.006,1.09297876,PASS
dynamic_diagonal_width,low,6,3,0.9745,0.9984,0.75781913,0.24043333,0.025,0.052,0.00724339,2.5,0.00585142,0.01894548,3.23775538,0.85,0.85,0.7955102041,0.1789897959,0.18367347,810,2.80500958,1.67481628,0.35654425,0.64345575,0.1246014462,12,0.33333333,24,0.66666667,0.33333333,4,8,0,2,3,8,0.55555556,0.042,0.12078209,0.035,0.006,1.09297876,PASS
dynamic_diagonal_width,normal,7,1,0.9745,0.94725,0.32130219,0.3179,0.025,0.044,0.00782046,2.5,0.00265492,0.00803255,3.02553002,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1620,9.91266288,3.14843817,0.30426753,0.69573247,0.0607475944,21,0.42857143,28,0.57142857,0.42857143,9,12,0,3.428571,6,12,0.67346939,0.038,0.038,0.035,0.006,1.08412364,PASS
dynamic_diagonal_width,normal,7,2,0.9745,0.95895,0.53921005,0.20783333,0.025,0.044,0.00812484,2.5,0.00457475,0.01348025,2.94666328,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1620,5.58177543,2.36257813,0.30426753,0.69573247,0.0607475944,21,0.42857143,28,0.57142857,0.42857143,9,12,0,3.428571,6,12,0.67346939,0.038,0.074556,0.035,0.006,1.08412364,PASS
dynamic_diagonal_width,normal,7,3,0.9745,0.97255,0.68705565,0.22016667,0.025,0.044,0.00843079,2.5,0.00599031,0.01717639,2.86736279,0.85,0.85,0.7955102041,0.1789897959,0.18367347,1620,4.13814629,2.03424342,0.30426753,0.69573247,0.0607475944,21,0.42857143,28,0.57142857,0.42857143,9,12,0,3.428571,6,12,0.67346939,0.038,0.10972287,0.035,0.006,1.08412364,PASS
dynamic_diagonal_width,normal,8,1,0.9745,1.0008,0.32113037,0.32096667,0.025,0.036,0.00892481,2.5,0.00323841,0.00802826,2.47907572,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2430,6.17301968,2.48455623,0.30680951,0.69319049,4e-7,32,0.5,32,0.5,0.5,4,28,0,3.225,9,12,0.6875,0.034,0.034,0.035,0.006,1.07526852,PASS
dynamic_diagonal_width,normal,8,2,0.9745,0.95124,0.5390785,0.54136667,0.025,0.036,0.00927553,2.5,0.00549727,0.01347696,2.45157182,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2430,3.71188928,1.9266264,0.30680951,0.69319049,4e-7,32,0.5,32,0.5,0.5,4,28,0,3.225,9,12,0.6875,0.034,0.066844,0.035,0.006,1.07526852,PASS
dynamic_diagonal_width,normal,8,3,0.9745,0.97976,0.68701846,0.27143333,0.025,0.036,0.0096283,2.5,0.00711247,0.01717546,2.414837,0.85,0.85,0.7955102041,0.1789897959,0.18367347,2430,2.89151248,1.70044479,0.30680951,0.69319049,4e-7,32,0.5,32,0.5,0.5,4,28,0,3.225,9,12,0.6875,0.034,0.0985713,0.035,0.006,1.07526852,PASS
dynamic_diagonal_width,high,9,1,0.9745,1.00096,0.23774723,0.24183333,0.02816757,0.03,0.01126703,2.5,0.0030407,0.00669676,2.20237801,0.85,0.85,0.777418179,0.197081821,0.20223891,4860,8.93123138,2.98851659,0.22699568,0.77300432,1e-7,45,0.55555556,36,0.44444444,0.55555556,1,44,0,3.528889,18,8,0.65432099,0.03,0.03,0.035,0.006,1.0664134,PASS
dynamic_diagonal_width,high,9,2,0.9745,0.96592,0.41608524,0.41726667,0.02929694,0.03,0.01171878,2.5,0.00545474,0.01219002,2.23475933,0.85,0.85,0.7711650219,0.2033349781,0.2086557,4860,5.25406564,2.29217487,0.22516983,0.77483017,1e-7,45,0.55555556,36,0.44444444,0.55555556,1,44,0,3.528889,18,8,0.65432099,0.03,0.0591,0.035,0.006,1.0664134,PASS
